steps, health, gold, time, win
1482, 462, 100, 879, 1
273, -60, 0, 160, 0
274, -52, 0, 152, 0
574, 180, 300, 321, 1
477, 1842, 150, 264, 1
333, -79, 30, 179, 0
667, -1, 30, 401, 0
277, -51, 0, 151, 0
228, -19, 0, 119, 0
200, -11, 0, 111, 0
332, -83, 60, 183, 0
134, -70, 0, 70, 0
508, 1381, 360, 271, 1
587, -41, 30, 341, 0
339, -83, 100, 183, 0
517, -96, 10, 296, 0
431, -44, 40, 244, 0
300, -65, 0, 165, 0
319, -78, 70, 178, 0
203, -10, 0, 110, 0
378, -6, 10, 206, 0
365, -2, 60, 202, 0
282, -54, 150, 154, 0
471, 959, 150, 254, 1
286, -64, 0, 164, 0
707, -11, 50, 411, 0
193, -6, 0, 106, 0
436, -39, 0, 239, 0
517, -74, 180, 275, 0
668, 2951, 410, 357, 1
331, -86, 10, 186, 0
283, -56, 0, 156, 0
406, -44, 110, 244, 0
337, -89, 60, 189, 0
220, -24, 0, 124, 0
758, -1, 200, 422, 0
1084, 1064, 330, 643, 1
239, -29, 60, 129, 0
152, -85, 120, 85, 0
499, -17, 230, 270, 0
417, -28, 90, 228, 0
279, -50, 0, 150, 0
677, 1484, 280, 370, 1
78, -42, 0, 42, 0
499, -1, 50, 301, 0
301, -57, 10, 157, 0
1036, 1253, 210, 615, 1
364, -3, 60, 203, 0
341, -88, 10, 188, 0
185, -1, 0, 101, 0
216, -15, 110, 115, 0
282, -51, 0, 151, 0
160, -93, 0, 93, 0
1030, 498, 470, 597, 1
144, -76, 30, 76, 0
284, -56, 70, 156, 0
553, -1, 170, 304, 0
132, -71, 0, 71, 0
342, -81, 480, 185, 0
979, 2418, 770, 558, 1
1027, -4, 30, 604, 0
245, -35, 0, 135, 0
