2016-11-17 17:28:14,945 INFO:Logging init parameters : {'filename': './GA.log', 'format': '%(asctime)s %(levelname)s:%(message)s', 'level': 20, 'filemode': 'w'}
2016-11-17 17:28:14,946 INFO:Model 0 inititalized
2016-11-17 17:29:08,855 INFO:Path 10 found
2016-11-17 17:29:08,855 INFO:Path 11 found
2016-11-17 17:29:08,857 INFO:Path 12 found
2016-11-17 17:29:08,858 INFO:Path 13 found
2016-11-17 17:29:08,858 INFO:Path 14 found
2016-11-17 17:29:08,858 INFO:Path 15 found
2016-11-17 17:29:08,859 INFO:Path 16 found
2016-11-17 17:29:08,861 INFO:Path 17 found
2016-11-17 17:29:08,861 INFO:Path 18 found
2016-11-17 17:29:08,861 INFO:Path 19 found
2016-11-17 17:29:08,862 INFO:Path 20 found
2016-11-17 17:29:08,864 INFO:Path 21 found
2016-11-17 17:29:08,865 INFO:Path 22 found
2016-11-17 17:29:08,865 INFO:Path 23 found
2016-11-17 17:29:08,865 INFO:Path 24 found
2016-11-17 17:29:08,867 INFO:Path 25 found
2016-11-17 17:29:08,868 INFO:Path 26 found
2016-11-17 17:29:08,868 INFO:Path 27 found
2016-11-17 17:29:08,868 INFO:Path 28 found
2016-11-17 17:29:08,869 INFO:Path 29 found
2016-11-17 17:29:08,871 INFO:Path 30 found
2016-11-17 17:29:08,871 INFO:Path 31 found
2016-11-17 17:29:08,871 INFO:Path 32 found
2016-11-17 17:29:08,872 INFO:Path 33 found
2016-11-17 17:29:08,872 INFO:Path 34 found
2016-11-17 17:29:08,874 INFO:Path 35 found
2016-11-17 17:29:08,875 INFO:Path 36 found
2016-11-17 17:29:08,875 INFO:Path 37 found
2016-11-17 17:29:08,875 INFO:Path 38 found
2016-11-17 17:29:08,877 INFO:Path 39 found
2016-11-17 17:29:08,878 INFO:Path 40 found
2016-11-17 17:29:08,878 INFO:Path 41 found
2016-11-17 17:29:08,878 INFO:Path 42 found
2016-11-17 17:29:08,880 INFO:Path 43 found
2016-11-17 17:29:08,881 INFO:Path 44 found
2016-11-17 17:29:08,881 INFO:Path 45 found
2016-11-17 17:29:08,882 INFO:Path 46 found
2016-11-17 17:29:08,882 INFO:Path 47 found
2016-11-17 17:29:08,884 INFO:Path 48 found
2016-11-17 17:29:08,884 INFO:Path 49 found
2016-11-17 17:29:08,884 INFO:Path 50 found
2016-11-17 17:29:08,885 INFO:Path 51 found
2016-11-17 17:29:08,887 INFO:Path 52 found
2016-11-17 17:29:08,887 INFO:Path 53 found
2016-11-17 17:29:08,888 INFO:Path 54 found
2016-11-17 17:29:08,888 INFO:Path 55 found
2016-11-17 17:29:08,890 INFO:Path 56 found
2016-11-17 17:29:08,890 INFO:Path 57 found
2016-11-17 17:29:08,891 INFO:Path 58 found
2016-11-17 17:29:08,891 INFO:Path 59 found
2016-11-17 17:29:08,892 INFO:Path 60 found
2016-11-17 17:29:08,894 INFO:Path 61 found
2016-11-17 17:29:08,894 INFO:Path 62 found
2016-11-17 17:29:08,894 INFO:Path 63 found
2016-11-17 17:29:08,895 INFO:Path 64 found
2016-11-17 17:29:08,895 INFO:Path 65 found
2016-11-17 17:29:08,897 INFO:Path 66 found
2016-11-17 17:29:08,897 INFO:Path 67 found
2016-11-17 17:29:08,898 INFO:Path 68 found
2016-11-17 17:29:08,898 INFO:Path 69 found
2016-11-17 17:29:08,900 INFO:Path 70 found
2016-11-17 17:29:08,901 INFO:Path 71 found
2016-11-17 17:29:08,901 INFO:Path 72 found
2016-11-17 17:29:08,901 INFO:Path 73 found
2016-11-17 17:29:08,903 INFO:Path 74 found
2016-11-17 17:29:08,904 INFO:Path 75 found
2016-11-17 17:29:08,904 INFO:Path 76 found
2016-11-17 17:29:08,905 INFO:Path 77 found
2016-11-17 17:29:08,905 INFO:Path 78 found
2016-11-17 17:29:08,907 INFO:Path 79 found
2016-11-17 17:29:08,907 INFO:Path 80 found
2016-11-17 17:29:08,907 INFO:Path 81 found
2016-11-17 17:29:08,908 INFO:Path 82 found
2016-11-17 17:29:08,910 INFO:Path 83 found
2016-11-17 17:29:08,911 INFO:Path 84 found
2016-11-17 17:29:08,911 INFO:Path 85 found
2016-11-17 17:29:08,911 INFO:Path 86 found
2016-11-17 17:29:08,913 INFO:Path 87 found
2016-11-17 17:29:08,914 INFO:Path 88 found
2016-11-17 17:29:08,914 INFO:Path 89 found
2016-11-17 17:29:08,914 INFO:Path 90 found
2016-11-17 17:29:08,915 INFO:Path 91 found
2016-11-17 17:29:08,915 INFO:Path 92 found
2016-11-17 17:29:08,917 INFO:Path 93 found
2016-11-17 17:29:08,917 INFO:Path 94 found
2016-11-17 17:29:08,918 INFO:Path 95 found
2016-11-17 17:29:08,918 INFO:Path 96 found
2016-11-17 17:29:08,920 INFO:Path 97 found
2016-11-17 17:29:08,921 INFO:Path 98 found
2016-11-17 17:29:08,921 INFO:Path 99 found
2016-11-17 17:29:08,921 INFO:Path 100 found
2016-11-17 17:29:08,923 INFO:Path 101 found
2016-11-17 17:29:08,923 INFO:Path 102 found
2016-11-17 17:29:08,924 INFO:Path 103 found
2016-11-17 17:29:08,924 INFO:Path 104 found
2016-11-17 17:29:08,926 INFO:Path 105 found
2016-11-17 17:29:08,926 INFO:Path 106 found
2016-11-17 17:29:08,927 INFO:Path 107 found
2016-11-17 17:29:08,927 INFO:Path 108 found
2016-11-17 17:29:08,928 INFO:Path 109 found
2016-11-17 17:29:08,930 INFO:Path 110 found
2016-11-17 17:29:08,930 INFO:Path 111 found
2016-11-17 17:29:08,930 INFO:Path 112 found
2016-11-17 17:29:08,931 INFO:Path 113 found
2016-11-17 17:29:08,931 INFO:Path 114 found
2016-11-17 17:29:08,933 INFO:Path 115 found
2016-11-17 17:29:08,934 INFO:Path 116 found
2016-11-17 17:29:08,934 INFO:Path 117 found
2016-11-17 17:29:08,934 INFO:Path 118 found
2016-11-17 17:29:08,936 INFO:Path 119 found
2016-11-17 17:29:08,937 INFO:Path 120 found
2016-11-17 17:29:08,937 INFO:Path 121 found
2016-11-17 17:29:08,937 INFO:Path 122 found
2016-11-17 17:29:08,938 INFO:Path 123 found
2016-11-17 17:29:08,940 INFO:Path 124 found
2016-11-17 17:29:08,940 INFO:Path 125 found
2016-11-17 17:29:08,940 INFO:Path 126 found
2016-11-17 17:29:08,941 INFO:Path 127 found
2016-11-17 17:29:08,943 INFO:Path 128 found
2016-11-17 17:29:08,944 INFO:Path 129 found
2016-11-17 17:29:08,944 INFO:Path 130 found
2016-11-17 17:29:08,944 INFO:Path 131 found
2016-11-17 17:29:08,946 INFO:Path 132 found
2016-11-17 17:29:08,947 INFO:Path 133 found
2016-11-17 17:29:08,947 INFO:Path 134 found
2016-11-17 17:29:08,947 INFO:Path 135 found
2016-11-17 17:29:08,948 INFO:Path 136 found
2016-11-17 17:29:08,948 INFO:Path 137 found
2016-11-17 17:29:08,950 INFO:Path 138 found
2016-11-17 17:29:08,950 INFO:Path 139 found
2016-11-17 17:29:08,951 INFO:Path 140 found
2016-11-17 17:29:08,951 INFO:Path 141 found
2016-11-17 17:29:08,953 INFO:Path 142 found
2016-11-17 17:29:08,953 INFO:Path 143 found
2016-11-17 17:29:08,954 INFO:Path 144 found
2016-11-17 17:29:08,956 INFO:Path 145 found
2016-11-17 17:29:08,956 INFO:Path 146 found
2016-11-17 17:29:08,957 INFO:Path 147 found
2016-11-17 17:29:08,957 INFO:Path 148 found
2016-11-17 17:29:08,959 INFO:Path 149 found
2016-11-17 17:29:08,960 INFO:Path 150 found
2016-11-17 17:29:08,960 INFO:Path 151 found
2016-11-17 17:29:08,960 INFO:Path 152 found
2016-11-17 17:29:08,961 INFO:Path 153 found
2016-11-17 17:29:08,961 INFO:Path 154 found
2016-11-17 17:29:08,963 INFO:Path 155 found
2016-11-17 17:29:08,963 INFO:Path 156 found
2016-11-17 17:29:08,964 INFO:Path 157 found
2016-11-17 17:29:08,964 INFO:Path 158 found
2016-11-17 17:29:08,966 INFO:Path 159 found
2016-11-17 17:29:08,967 INFO:Path 160 found
2016-11-17 17:29:08,967 INFO:Path 161 found
2016-11-17 17:29:08,967 INFO:Path 162 found
2016-11-17 17:29:08,969 INFO:Path 163 found
2016-11-17 17:29:08,970 INFO:Path 164 found
2016-11-17 17:29:08,970 INFO:Path 165 found
2016-11-17 17:29:08,970 INFO:Path 166 found
2016-11-17 17:29:08,971 INFO:Path 167 found
2016-11-17 17:29:08,973 INFO:Path 168 found
2016-11-17 17:29:08,973 INFO:Path 169 found
2016-11-17 17:29:08,973 INFO:Path 170 found
2016-11-17 17:29:08,974 INFO:Path 171 found
2016-11-17 17:29:08,974 INFO:Path 172 found
2016-11-17 17:29:08,976 INFO:Path 173 found
2016-11-17 17:29:08,976 INFO:Path 174 found
2016-11-17 17:29:08,977 INFO:Path 175 found
2016-11-17 17:29:08,977 INFO:Path 176 found
